time,US,JAP,England,DG,France,ITALY,JIA
2008/2/29,4.03,1,2.6,2.84,2.85,2.9,-0.62
2008/3/31,3.98,1.2,2.6,3.15,3.18,3.28,-0.27
2008/4/30,3.94,0.8,3,2.4,3.02,3.35,0.9
2008/5/31,4.18,1.3,3.3,3.03,3.32,3.57,1.88
2008/6/30,5.02,2,3.7,3.24,3.57,3.79,3.04
2008/7/31,5.6,2.3,4.2,3.32,3.61,4.08,4.31
2008/8/31,5.37,2.1,4.4,3.12,3.16,4.07,5.24
2008/9/30,4.94,2.1,4.8,2.8,2.98,3.77,6.68
2008/10/31,3.66,1.7,4.2,2.38,2.66,3.46,7.25
2008/11/30,1.07,1,3.8,1.34,1.63,2.7,9.02
2008/12/31,0.09,0.4,3,1.13,1,2.24,8.99
2009/1/31,0.03,0,2.9,0.92,0.71,1.64,8.62
2009/2/28,0.24,-0.1,3.1,1.12,0.87,1.63,8.94
2009/3/31,-0.38,-0.3,2.8,0.41,0.3,1.18,9.5
2009/4/30,-0.74,-0.1,2.3,0.71,0.13,1.18,8.34
2009/5/31,-1.28,-1.1,2.1,0,-0.26,0.88,7.36
2009/6/30,-1.43,-1.8,1.7,0.1,-0.49,0.51,6.42
2009/7/31,-2.1,-2.2,1.6,-0.5,-0.73,0,5.59
2009/8/31,-1.48,-2.2,1.4,0,-0.18,0.14,4.38
2009/9/30,-1.29,-2.2,1,-0.2,-0.36,0.22,2.75
2009/10/31,-0.18,-2.5,1.2,0,-0.21,0.29,2.14
2009/11/30,1.84,-1.9,1.5,0.41,0.4,0.66,1.25
2009/12/31,2.72,-1.7,2.1,0.81,0.91,1.02,1.25
2010/1/31,2.63,-1.3,2.6,0.71,1.1,1.32,0.91
2010/2/28,2.14,-1.1,2.1,0.51,1.28,1.17,0.57
2010/3/31,2.31,-1.1,2.4,1.22,1.59,1.39,0.74
2010/4/30,2.24,-1.2,2.7,1.21,1.68,1.53,0.41
2010/5/31,2.02,-0.9,2.5,1.22,1.65,1.38,0.24
2010/6/30,1.05,-0.7,2.4,0.91,1.51,1.31,0.08
2010/7/31,1.24,-0.9,2.3,1.11,1.68,1.67,0.57
2010/8/31,1.15,-0.9,2.4,1.01,1.39,1.59,1.23
2010/9/30,1.14,-0.6,2.4,1.21,1.56,1.6,2.17
2010/10/31,1.17,0.2,2.5,1.31,1.59,1.74,2.1
2010/11/30,1.14,0.1,2.6,1.52,1.57,1.74,0.99
2010/12/31,1.5,0,3.1,1.31,1.76,1.88,1.4
2011/1/31,1.63,-0.6,3.4,1.72,1.74,2.15,1.88
2011/2/28,2.11,-0.5,3.7,1.91,1.66,2.38,1.96
2011/3/31,2.68,-0.5,3.5,2,1.99,2.49,3.66
2011/4/30,3.16,-0.4,3.8,1.9,2.08,2.62,3.67
2011/5/31,3.57,-0.4,3.8,2,2.01,2.65,4.23
2011/6/30,3.56,-0.4,3.6,2.1,2.11,2.75,4.8
2011/7/31,3.63,0.2,3.8,2.1,1.94,2.68,5.11
2011/8/31,3.77,0.2,3.9,2.1,2.23,2.76,5.04
2011/9/30,3.87,0,4.5,2.4,2.24,2.98,4.82
2011/10/31,3.53,-0.2,4.3,2.3,2.35,3.36,4.93
2011/11/30,3.39,-0.5,4.1,2.39,2.52,3.26,5.72
2011/12/31,2.96,-0.2,3.7,1.98,2.46,3.29,5.03
2012/1/31,2.93,0.1,3.2,2.09,2.35,3.16,4.9
2012/2/29,2.87,0.3,3.1,2.17,2.29,3.25,4.72
2012/3/31,2.65,0.5,3.1,2.16,2.3,3.34,1.96
2012/4/30,2.3,0.4,2.8,1.96,2.09,3.32,2.36
2012/5/31,1.7,0.2,2.5,1.96,1.98,3.22,2.5
2012/6/30,1.66,-0.2,2.3,1.67,1.93,3.31,1.79
2012/7/31,1.41,-0.4,2.4,1.86,1.94,3.11,1.93
2012/8/31,1.69,-0.4,2.3,2.15,2.08,3.2,2.24
2012/9/30,1.99,-0.3,2.1,2.05,1.91,3.2,1.4
2012/10/31,2.16,-0.4,2.4,2.05,1.85,2.6,1.88
2012/11/30,1.76,-0.2,2.4,1.95,1.42,2.51,1.47
2012/12/31,1.74,-0.1,2.4,2.04,1.33,2.31,1.24
2013/1/31,1.59,-0.3,2.4,1.65,1.17,2.2,0.61
2013/2/28,1.98,-0.7,2.5,1.55,1.04,1.91,1.76
2013/3/31,1.47,-0.9,2.5,1.44,0.97,1.61,1.69
2013/4/30,1.06,-0.7,2.2,1.15,0.69,1.13,1.69
2013/5/31,1.36,-0.3,2.4,1.54,0.8,1.13,1.3
2013/6/30,1.75,0.2,2.6,1.83,0.93,1.23,1.3
2013/7/31,1.96,0.7,2.5,1.92,1.07,1.23,0.45
2013/8/31,1.52,0.9,2.4,1.53,0.87,1.22,0.68
2013/9/30,1.18,1.1,2.4,1.43,0.88,0.94,1.08
2013/10/31,0.96,1.1,2,1.24,0.57,0.75,0.69
2013/11/30,1.24,1.5,1.9,1.34,0.68,0.66,1.07
2013/12/31,1.5,1.6,1.9,1.43,0.71,0.66,0.76
2014/1/31,1.58,1.4,1.8,1.34,0.65,0.66,0.99
2014/2/28,1.13,1.5,1.6,1.24,0.92,0.47,0.98
2014/3/31,1.51,1.6,1.5,1.04,0.61,0.37,1.74
2014/4/30,1.95,3.4,1.7,1.33,0.72,0.56,1.74
2014/5/31,2.13,3.7,1.5,0.85,0.68,0.47,2.48
2014/6/30,2.07,3.6,1.8,1.04,0.48,0.28,3.24
2014/7/31,1.99,3.4,1.6,0.85,0.46,0.09,3.16
2014/8/31,1.7,3.3,1.5,0.85,0.44,-0.09,2.26
2014/9/30,1.66,3.2,1.3,0.85,0.29,-0.19,2.97
2014/10/31,1.66,2.9,1.3,0.76,0.45,0.09,3.05
2014/11/30,1.32,2.4,1.1,0.57,0.32,0.19,3.32
2014/12/31,0.76,2.4,0.7,0.19,0.06,0,4.24
2015/1/31,-0.09,2.4,0.5,-0.28,-0.38,-0.56,5.35
2015/2/28,-0.03,2.2,0.4,-0.05,-0.27,-0.09,4.32
2015/3/31,-0.07,2.3,0.3,0.17,-0.07,-0.09,4.16
2015/4/30,-0.2,0.6,0.3,0.87,0.08,-0.09,4.01
2015/5/31,-0.04,0.5,0.4,1.16,0.3,0.09,4.11
2015/6/30,0.12,0.4,0.3,0.88,0.26,0.19,3.58
2015/7/31,0.17,0.2,0.5,0.8,0.17,0.19,3.5
2015/8/31,0.2,0.2,0.4,0.8,0.05,0.19,3.97
2015/9/30,-0.04,0,0.2,0.6,0.03,0.19,3.92
2015/10/31,0.17,0.3,0.2,0.88,0.06,0.28,4.59
2015/11/30,0.5,0.3,0.4,0.17,0.04,0.09,3.72
2015/12/31,0.73,0.2,0.5,0.17,0.18,0.09,4.07
2016/1/31,1.37,-0.1,0.6,0.51,0.22,0.25,4.58
2016/2/29,1.02,0.2,0.6,0.1,-0.19,-0.32,4.42
2016/3/31,0.85,0,0.8,0.3,-0.15,-0.21,3.99
2016/4/30,1.13,-0.3,0.7,-0.1,-0.19,-0.5,3.29
2016/5/31,1.02,-0.5,0.7,0.2,-0.02,-0.29,1.41
2016/6/30,1,-0.4,0.8,0.3,0.19,-0.38,0.85
2016/7/31,0.83,-0.4,0.9,0.5,0.22,-0.09,1.13
2016/8/31,1.06,-0.5,1,0.4,0.23,-0.07,0.42
2016/9/30,1.46,-0.5,1.3,0.6,0.39,0.1,-0.92
2016/10/31,1.64,0.1,1.3,0.8,0.36,-0.19,-2.05
2016/11/30,1.69,0.5,1.5,0.8,0.53,0.09,-1.97
2016/12/31,2.07,0.3,1.8,1.5,0.61,0.49,-2.79
2017/1/31,2.5,0.4,1.9,1.62,1.34,1,-3.97
2017/2/28,2.74,0.3,2.3,1.91,1.21,1.61,-4.1
2017/3/31,2.38,0.2,2.3,1.4,1.15,1.41,-3.57
2017/4/30,2.2,0.4,2.6,1.7,1.17,1.91,-2.56
2017/5/31,1.87,0.4,2.7,1.19,0.81,1.4,-1.18
2017/6/30,1.63,0.4,2.6,1.39,0.69,1.2,-0.35
2017/7/31,1.73,0.4,2.6,1.38,0.72,1.1,-0.14
2017/8/31,1.94,0.7,2.7,1.58,0.9,1.2,0.28
2017/9/30,2.23,0.7,2.8,1.68,0.99,1.1,0.86
2017/10/31,2.04,0.2,2.8,1.28,1.06,1,0.58
2017/11/30,2.2,0.6,2.8,1.59,1.18,0.9,0.93
2017/12/31,2.11,1,2.7,1.38,1.19,0.9,1.51
2018/1/31,2.07,1.4,2.7,1.39,1.33,0.89,1.64
2018/2/28,2.21,1.5,2.5,1.09,1.18,0.5,1.35
2018/3/31,2.36,1.1,2.3,1.48,1.56,0.79,0.5
2018/4/30,2.46,0.6,2.2,1.28,1.64,0.49,0.71
2018/5/31,2.8,0.7,2.3,2.06,2.02,0.99,-0.49
2018/6/30,2.87,0.7,2.3,1.86,2.02,1.29,0.07
2018/7/31,2.95,0.9,2.3,1.85,2.29,1.48,0.07
2018/8/31,2.7,1.3,2.4,1.85,2.26,1.58,0.28
2018/9/30,2.28,1.2,2.2,1.95,2.2,1.38,0.64
2018/10/31,2.52,1.4,2.2,2.34,2.21,1.58,1.08
2018/11/30,2.18,0.8,2.2,2.06,1.89,1.59,1.42
2018/12/31,1.91,0.3,2,1.56,1.59,1.09,2.48
2019/1/31,1.55,0.2,1.8,1.37,1.24,0.89,2.45
2019/2/28,1.52,0.2,1.8,1.47,1.32,0.99,3.37
2019/3/31,1.86,0.5,1.8,1.26,1.11,0.98,4.03
2019/4/30,2,0.9,2,2.04,1.26,1.08,2.96
2019/5/31,1.79,0.7,1.9,1.44,0.94,0.78,4.03
2019/6/30,1.65,0.7,1.9,1.63,1.17,0.68,3.92
2019/7/31,1.81,0.5,2,1.72,1.07,0.39,4.19
2019/8/31,1.75,0.3,1.7,1.44,1.04,0.39,3.92
2019/9/30,1.71,0.2,1.7,1.24,0.91,0.29,4.1
2019/10/31,1.76,0.2,1.5,1.14,0.76,0.19,4.12
2019/11/30,2.05,0.5,1.5,1.06,1.03,0.2,3.85
2019/12/31,2.29,0.8,1.4,1.54,1.46,0.49,3.18
2020/1/31,2.49,0.7,1.8,1.74,1.49,0.49,3.76
2020/2/29,2.33,0.4,1.7,1.73,1.43,0.29,2.38
2020/3/31,1.54,0.4,1.5,1.44,0.67,0.1,2.38
2020/4/30,0.33,0.1,0.9,0.86,0.33,0,3.97
2020/5/31,0.12,0.1,0.7,0.57,0.36,-0.19,3.54
2020/6/30,0.65,0.1,0.8,0.85,0.2,-0.19,3.03
2020/7/31,0.99,0.3,1.1,-0.09,0.78,-0.39,2.41
2020/8/31,1.31,0.2,0.5,0,0.22,-0.48,1.62
2020/9/30,1.37,0,0.7,-0.19,0.05,-0.58,1.29
2020/10/31,1.18,-0.4,0.9,-0.19,0.05,-0.29,2.32
2020/11/30,1.17,-0.9,0.6,-0.28,0.2,-0.19,1.62
2020/12/31,1.36,-1.2,0.8,-0.28,-0.02,-0.19,0.54
2021/1/31,1.4,-0.6,0.9,1.05,0.55,0.39,0.07
2021/2/28,1.68,-0.4,0.7,1.33,0.56,0.58,1.33
2021/3/31,2.62,-0.2,1,1.7,1.11,0.78,1.33
2021/4/30,4.16,-0.4,1.6,1.98,1.24,1.07,0.07
2021/5/31,4.99,-0.1,2.1,2.55,1.42,1.26,0.85
2021/6/30,5.39,0.2,2.4,2.35,1.48,1.26,0.65
